"game_id","date_played","home","visitor"
25465,2021-09-03,"LDN","SAR"
25466,2021-09-04,"ER","SAG"
25467,2021-09-04,"GUE","MISS"
25468,2021-09-04,"HAM","OSH"
25469,2021-09-04,"SAR","LDN"
25470,2021-09-05,"MISS","GUE"
25471,2021-09-05,"OSH","HAM"
25472,2021-09-05,"SOO","SBY"
25473,2021-09-06,"BAR","OS"
25474,2021-09-06,"PBO","OTT"
25475,2021-09-16,"ER","FLNT"
25476,2021-09-16,"PBO","KGN"
25477,2021-09-17,"HAM","LDN"
25478,2021-09-17,"KIT","BAR"
25479,2021-09-17,"MISS","GUE"
25480,2021-09-17,"OSH","NIAG"
25481,2021-09-17,"SAG","FLNT"
25482,2021-09-17,"SAR","WSR"
25483,2021-09-17,"SBY","PBO"
25484,2021-09-18,"BAR","KIT"
25485,2021-09-18,"ER","SAG"
25486,2021-09-18,"KGN","OTT"
25487,2021-09-18,"NB","OS"
25488,2021-09-18,"NIAG","OSH"
25489,2021-09-19,"WSR","SAR"
25490,2021-09-23,"PBO","SAR"
25491,2021-09-24,"GUE","NIAG"
25492,2021-09-24,"HAM","WSR"
25493,2021-09-24,"KIT","MISS"
25494,2021-09-24,"LDN","BAR"
25495,2021-09-24,"OTT","NB"
25496,2021-09-24,"SBY","OS"
25497,2021-09-25,"KGN","PBO"
25498,2021-09-25,"NB","OTT"
25499,2021-09-25,"NIAG","GUE"
25500,2021-09-25,"OS","BAR"
25501,2021-09-25,"SOO","SBY"
25502,2021-09-26,"MISS","KIT"
25503,2021-09-26,"WSR","HAM"
25504,2021-09-29,"OTT","KGN"
25505,2021-09-30,"BAR","LDN"
25506,2021-10-01,"GUE","MISS"
25507,2021-10-01,"KIT","NIAG"
25508,2021-10-01,"LDN","HAM"
25509,2021-10-01,"OSH","WSR"
25510,2021-10-01,"SAG","ER"
25511,2021-10-01,"SAR","PBO"
25512,2021-10-01,"SBY","SOO"
25513,2021-10-02,"FLNT","ER"
25514,2021-10-02,"NIAG","KIT"
25515,2021-10-02,"OS","NB"
25516,2021-10-03,"FLNT","SAG"
25517,2021-10-03,"SBY","OTT"
25518,2021-10-03,"WSR","OSH"
